profile_id,GCaL,GK1,GKr,GKs,GKur,Gto,GKACh,GNa,GNaK,GNCX,GSK,GK2P,GSAC
1,1.74549746892952,1.50550028515768,1.16063354673152,1.07799999314229,1.96096544257366,0.620575727410439,1.28423501851857,1.99708999173099,1.84185990897342,0.551721138415049,1.7173173402142,0.80859049367336,0.873155402897161
2,1.64258035113401,1.01516158315372,1.04232403202297,0.71417910023953,1.82130812628879,1.53691138501705,0.904861064465786,1.37165150897635,1.15111020610835,1.42273711258647,0.767038541131612,1.92402680384137,1.75678371069396
3,0.762681976381853,1.95149506121329,0.6003435047334,1.15106889110628,1.29688843232506,1.60245102104839,0.851840048405424,0.551310247664028,1.02974119563956,1.41076996540859,1.73416866952699,1.51109865343045,0.851902956134545
4,1.85367528094187,0.962138406287378,1.19741578237275,1.78499066911882,1.34390859276864,1.49488290148971,1.75236344146292,0.796476830288321,1.88623030811545,0.662712702752584,0.980789432117365,1.18242035356964,1.15065506685056
5,1.89150801889818,0.999998708210902,0.833079664550445,1.23323161109461,1.35636797798031,1.19505139733764,0.987134593560071,1.44320443925677,1.70890450381316,1.71440831376868,1.4490746852632,1.20303074296293,1.86005268852655
6,1.86799921121281,1.2228356331123,1.02669042461656,1.38000948615001,1.26345167200043,1.57240525447014,1.22814576290098,1.99004991179554,0.768352162456408,0.894485845367442,1.36891059569633,0.958912367441086,0.793564364482565
7,0.692496731990202,1.25854145855049,1.99901515667397,0.928707303216573,1.78613631042711,0.921601779607106,0.858824425716344,0.709057649831813,1.15429502014725,0.579964801388816,0.905991793974767,1.70132741924297,1.50724675840546
8,1.66410840223994,0.919226386716945,1.79256793036319,0.625344449847367,0.820954113790496,1.27792710290318,0.722502973175541,1.35202856592328,1.90642730914499,0.557830407620725,1.50679843416565,1.06811562789729,0.949772411601718
9,1.81984173821688,1.19613061606322,1.89784690398998,0.653594763517994,1.34888508665133,1.03435471580929,0.732906857529634,1.82956443081486,1.36398950905141,0.627189638885735,1.70458927878883,0.933851657005077,1.86858503607149
10,1.03772666947912,1.29031679559528,1.57687693884879,0.577850434556102,0.891241913101843,1.68660341405007,1.45432855303951,0.781490892673443,1.96611306716891,1.54260733564386,1.20827795548036,1.67859184117298,0.952661238777713
11,1.2335281249036,1.11752903761439,1.76849463770823,0.962733238297171,1.8411825881119,1.79330707879853,1.51705142045063,0.987188393102252,1.8081650112838,0.604476526074695,0.950360472199151,0.543843772840971,1.58390941776326
12,0.866152961630403,1.18664064110075,1.86060142559515,1.20699769857654,1.76045844698424,1.91644256787738,1.09971069528687,0.579924148709771,1.10241769264661,1.60508899315422,1.65018582420942,1.65865254842447,0.663973028861622
13,1.66289064765207,0.508930335584988,0.817446185736866,1.85265017053359,1.82210142565334,1.00120817686823,1.56211140878072,0.832694548600626,0.937423917287815,0.811579777450356,1.53136386549715,0.785062452499952,0.698273563801462
14,1.83911046772921,0.726172665385164,1.69492828512636,1.63902149853082,0.997938852999535,1.92701949655174,1.02527699646588,1.39558208322672,0.511809436043496,1.79839806550353,0.522145222376858,0.645325873972475,1.46177702747983
15,1.08016945660355,0.648245023501104,1.16969708748251,1.84639457808472,1.41691281608077,0.923669616695815,1.72138447011825,1.16742905819471,1.88999358969643,0.652791099886346,1.73899815371542,1.45361076538657,1.36224033516003
16,1.02377998871604,0.841557899479166,1.11177046617504,0.533478671505021,1.69953794871863,1.62268360097815,0.595780729677507,1.28404294724781,1.80502219604717,0.743683418913101,1.37553478045207,0.966698583298908,1.87380944651945
